age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
30,1,1,Bachelor,Full-time,64001,Different Religion,1,5.536015653,3,Collaborative,6.026355366,0,0,0,8.428183429,5,Love,1,0,6.262410587,1
27,2,2,Master,Full-time,86221,Same Religion,1,5.810171863,3,Aggressive,1,0,1,0,5.297221032,1,Love,1,0,6.769383657,1
31,6,0,High School,Part-time,69441,Same Religion,0,6.088145848,3,Collaborative,3.199275226,0,0,0,5.887065994,1,Arranged,1,0,5.532866463,1
35,3,2,Bachelor,Full-time,69513,Not Religious,1,6.212046088,3,Aggressive,4.89363269,0,0,0,5.26355471,5,Love,1,0,3.491264103,0
26,2,2,No Formal Education,Full-time,63986,Different Religion,1,4.826261816,1,Passive,9.431153904,0,0,1,5.771259249,4,Love,1,0,10,1
26,10,0,High School,Full-time,44605,Same Religion,0,6.825963722,3,Collaborative,9.118267557,0,0,0,6.909349905,3,Love,1,0,4.628148508,0
35,10,2,High School,Full-time,73454,Different Religion,1,3.775491472,1,Passive,1,0,0,0,7.351374873,1,Love,1,0,5.753932279,0
31,17,1,High School,Unemployed,59491,Not Religious,1,6.613021306,4,Aggressive,1.82236612,0,0,0,8.709812725,2,Love,0,0,7.010559454,1
25,5,1,Bachelor,Full-time,40944,Not Religious,0,2.96334503,0,Collaborative,5.361882464,0,0,0,8.727489421,3,Arranged,1,0,2.428384995,0
30,1,0,PhD,Full-time,46819,Same Religion,1,3.612108602,1,Collaborative,6.575485646,1,0,0,5.939284616,1,Arranged,1,0,8.750676336,1
25,3,4,Bachelor,Part-time,37276,Same Religion,0,4.565047746,1,Collaborative,3.353967068,0,0,0,4.609763695,2,Love,0,0,4.240358854,0
25,39,2,Bachelor,Unemployed,81193,Different Religion,1,6.389067665,0,Collaborative,6.293823335,1,0,0,6.512878273,3,Arranged,1,0,7.767143536,0
29,9,3,Bachelor,Full-time,99575,Same Religion,1,6.471660825,2,Collaborative,3.339944029,0,0,1,5.000273651,4,Arranged,0,0,3.203306596,1
18,12,2,Bachelor,Full-time,83103,Not Religious,1,4.298661573,1,Collaborative,3.519099152,0,1,0,7.505237966,6,Arranged,1,0,7.339854377,0
19,1,3,Bachelor,Homemaker,67524,Same Religion,1,3.162699892,4,Passive,2.21201331,0,0,1,8.525429014,4,Arranged,0,0,2.182854757,1
25,7,2,High School,Full-time,58690,Same Religion,1,8.412019064,0,Avoidant,1.580100294,0,0,0,7.219045637,0,Arranged,1,0,8.567999723,1
22,1,0,Bachelor,Homemaker,54181,Not Religious,0,6.133440603,3,Avoidant,3.736716316,1,0,0,6.430891356,0,Arranged,1,0,6.732696149,0
29,8,2,Bachelor,Full-time,40274,Same Religion,1,5.725568073,9,Collaborative,7.825128778,0,0,1,7.167311971,5,Love,1,0,6.487787638,0
23,25,1,High School,Full-time,98935,Same Religion,0,6.728135022,3,Avoidant,6.202226488,0,0,0,5.608493218,4,Love,0,0,7.75918891,1
20,34,1,Bachelor,Full-time,39319,Different Religion,1,4.092097326,0,Collaborative,5.676465987,0,0,0,4.485756918,5,Love,0,0,4.100519044,0
35,7,3,No Formal Education,Full-time,43010,Same Religion,0,8.141841632,3,Aggressive,4.288449921,0,0,0,6.837854628,4,Love,1,0,4.672430587,1
26,6,0,Bachelor,Homemaker,56089,Different Religion,1,7.152058517,0,Avoidant,6.056567661,0,1,0,8.665170935,2,Love,1,0,3.642471264,1
28,29,3,No Formal Education,Homemaker,57741,Same Religion,1,5.4332894,2,Collaborative,3.815630284,0,0,0,5.064222716,3,Love,1,0,3.830676826,0
20,11,2,High School,Homemaker,72040,Same Religion,1,5.87559607,4,Avoidant,2.995725464,1,0,1,5.34303786,2,Love,0,0,6.724143503,0
25,1,1,Master,Homemaker,46531,Same Religion,1,5.520524465,3,Avoidant,6.327450936,0,0,0,7.730809989,6,Arranged,1,0,5.747426202,0
28,6,2,High School,Unemployed,20228,Different Religion,1,8.66646325,4,Aggressive,3.58068417,1,0,0,5.866731429,2,Love,1,0,2.858370639,0
22,2,2,High School,Part-time,55371,Same Religion,1,6.862548703,1,Avoidant,2.330339582,0,0,1,5.89005559,3,Arranged,0,0,5.997873008,0
29,6,2,Bachelor,Unemployed,56718,Same Religion,1,7.084776087,2,Passive,6.07933681,1,0,0,4.684812013,3,Arranged,0,0,6.653420638,1
24,6,0,Bachelor,Full-time,55094,Not Religious,1,6.138341189,5,Collaborative,1.605130253,0,0,1,7.03895383,3,Love,0,0,7.272592642,1
26,8,1,Master,Full-time,54828,Not Religious,1,5.999530964,1,Passive,5.971837755,1,0,1,5.756285879,7,Arranged,0,0,8.692226466,1
24,4,0,Bachelor,Part-time,52987,Different Religion,1,9.758203059,2,Collaborative,6.015294034,0,0,1,3.152467845,4,Love,1,0,4.648157754,0
37,1,1,Bachelor,Homemaker,33512,Same Religion,1,5.274675774,0,Passive,1.782826024,0,0,0,7.165757437,3,Love,0,0,7.423420502,0
27,7,3,PhD,Part-time,89244,Same Religion,1,6.43864924,1,Collaborative,1.953311158,1,0,0,7.502963223,4,Love,0,0,5.827446539,1
22,17,1,Bachelor,Unemployed,88112,Different Religion,0,10,2,Avoidant,8.26239826,1,0,0,5.524402294,0,Love,1,0,6.667996056,0
32,10,3,High School,Full-time,87908,Not Religious,1,8.654029594,2,Avoidant,6.554928307,0,0,0,7.852497493,2,Arranged,1,0,9.216049787,0
21,4,0,High School,Unemployed,36288,Not Religious,0,6.758591917,4,Collaborative,6.214597584,0,0,0,3.571937428,4,Arranged,1,0,3.899413477,0
29,27,1,Bachelor,Homemaker,68076,Not Religious,0,2.98049631,0,Aggressive,5.540665803,0,0,0,4.232445815,4,Love,0,0,8.626196645,0
18,24,1,Master,Full-time,51543,Not Religious,1,10,5,Avoidant,6.785683052,0,1,0,5.127324861,3,Love,1,0,8.327906904,0
21,2,4,High School,Homemaker,50455,Same Religion,0,5.51908655,1,Avoidant,6.785629183,0,0,1,6.136013943,4,Love,1,0,5.016824011,1
28,1,4,High School,Part-time,41427,Different Religion,1,6.167813043,0,Collaborative,2.987917307,1,1,0,6.732447858,7,Love,0,0,7.410423477,0
31,13,1,High School,Part-time,111311,Not Religious,0,8.063629372,1,Collaborative,4.52480251,0,0,0,5.021986039,0,Love,1,0,5.726511609,0
28,17,1,Bachelor,Homemaker,55025,Not Religious,1,5.587955266,0,Passive,3.904105597,0,0,0,7.330006858,4,Love,1,0,2.898728773,0
27,34,3,High School,Full-time,41560,Not Religious,1,6.425366526,1,Avoidant,6.433515607,0,0,0,4.956603517,0,Love,1,0,4.7320452,1
26,22,1,High School,Full-time,62763,Same Religion,1,6.128968138,1,Aggressive,5.42215653,0,0,1,1.178727964,3,Love,1,0,5.497472803,1
20,9,1,Bachelor,Part-time,75262,Different Religion,0,5.272811712,5,Collaborative,8.162536922,0,0,0,3.360896684,3,Love,0,0,7.209918516,1
